date,type,amount,transaction,category,sub_category,team,event,invoice_number,transport
4/3/25,Expense,43.2,Pomona I Gas,Travel & Meals: Travel,Fuel,Airborne Images,Pomona I,250103,Rental Car
4/6/25,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
4/7/25,Expense,13.38,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
4/8/25,Expense,6,AWS - Database,Other Expenses,Software,"TSP, LLC",,Monthly,
4/8/25,Expense,9,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
4/11/25,Expense,379,Vegas flights,Travel & Meals: Travel,Airfare,Airborne Images,Vegas I,250104,
4/12/25,Expense,9.4,Vegas I Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Vegas I,250104,
4/14/25,Expense,533.3,Vegas I Hotel,Travel & Meals: Travel,Hotels,Airborne Images,Vegas I,250104,
4/16/25,Expense,22.83,Vegas I Gas,Travel & Meals: Travel,Fuel,Airborne Images,Vegas I,250104,Rental Car
4/17/25,Expense,223.4,Vegas I Car Rental,Travel & Meals: Travel,Car Rental,Airborne Images,Vegas I,250104,Rental Car
4/18/25,Expense,60.45,Verizon Cellular,Utilities,Cellular Service,"TSP, LLC",,,
4/18/25,Expense,44.24,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
4/20/25,Expense,16.04,Paddle.com,Other Expenses,Software,"TSP, LLC",,Monthly,
4/21/25,Expense,32.09,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
4/24/25,Income,3250,Gainesville Invoice,Gross Receipts,Drone Services,Airborne Images,Gainesville,250101,
4/24/25,Income,3250,Phoenix Invoice,Gross Receipts,Drone Services,Airborne Images,Phoenix,250102,
4/24/25,Expense,54.39,Charlotte I Gas,Travel & Meals: Travel,Fuel,Airborne Images,Charlotte I,250105,Personal Vehicle
4/24/25,Expense,19.72,Charlotte I Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Charlotte I,250105,
4/24/25,Expense,36.18,Charlotte I Meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Charlotte I,250105,
4/25/25,Income,3250,Pomona I Invoice,Gross Receipts,Drone Services,Airborne Images,Pomona I,250103,
4/25/25,Expense,65.26,Charlotte I Gas,Travel & Meals: Travel,Fuel,Airborne Images,Charlotte I,250105,Personal Vehicle
